Date : 2020-02-19 21:53:57
Directory : c:\Users\bilal\Desktop\BayimSu\crm
Total : 228 files,  33570 codes, 1244 comments, 5428 blanks, all 40242 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Profile\SupportScreen.tsx                  | TypeScript React |        144 |          5 |         70 |        219 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Report\ReportAnotherScreen.tsx             | TypeScript React |        132 |         12 |         24 |        168 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Report\ReportBaseScreen.tsx                | TypeScript React |         91 |          6 |         23 |        120 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Report\ReportNewScreen.tsx                 | TypeScript React |        202 |         16 |         63 |        281 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Report\ReportScreen.tsx                    | TypeScript React |        214 |          5 |         39 |        258 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\Report\ReportTemplateScreen.tsx            | TypeScript React |        800 |         73 |        219 |      1,092 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AppScreens\SideBar\index.tsx                          | TypeScript React |         29 |          0 |          5 |         34 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthLoading\index.tsx                                 | TypeScript React |        137 |          3 |         48 |        188 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\Introduction\IntroductionScreen.tsx       | TypeScript React |        115 |          8 |         26 |        149 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\Login\UserAgreementScreen.tsx             | TypeScript React |        133 |          0 |         40 |        173 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\Login\index.tsx                           | TypeScript React |        211 |          9 |         93 |        313 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\Login\styles.ts                           | TypeScript       |         76 |          1 |          9 |         86 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\SignUp\PhoneVerificationScreen.tsx        | TypeScript React |        196 |         12 |         75 |        283 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\SignUp\SignUpFirstScreen.tsx              | TypeScript React |        226 |          9 |        111 |        346 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\AuthScreens\SignUp\SignUpSecondScreen.tsx             | TypeScript React |        224 |          8 |        109 |        341 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\screens\styles.ts                                             | TypeScript       |        818 |         54 |        100 |        972 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\services\NotificationService.tsx                              | TypeScript React |         71 |          0 |         31 |        102 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\services\RequestService.tsx                                   | TypeScript React |         35 |          0 |         24 |         59 |
| c:\Users\bilal\Desktop\BayimSu\crm\src\styles.tsx                                                    | TypeScript React |        825 |         47 |        100 |        972 |
| c:\Users\bilal\Desktop\BayimSu\crm\tsconfig.json                                                     | JSON             |         15 |          0 |          1 |         16 |
| Total                                                                                                |                  |     33,570 |      1,244 |      5,428 |     40,242 |
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
