filename, language, JSON, Properties, JavaScript, TypeScript React, Log, Batch, Markdown, Groovy, C++, Objective-C, TypeScript, XML, HTML, CSS, Java, comment, blank, total
c:\Users\bilal\Desktop\BayimSu\crm\src\components\Graph.tsx, TypeScript React, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
c:\Users\bilal\Desktop\BayimSu\crm\src\components\Header.tsx, TypeScript React, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
c:\Users\bilal\Desktop\BayimSu\crm\src\components\HeaderLeft.tsx, TypeScript React, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
c:\Users\bilal\Desktop\BayimSu\crm\src\components\HeaderLeftRight.tsx, TypeScript React, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
c:\Users\bilal\Desktop\BayimSu\crm\src\components\IconBadge.tsx, TypeScript React, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 36
c:\Users\bilal\Desktop\BayimSu\crm\src\components\InfoItem.tsx, TypeScript React, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
c:\Users\bilal\Desktop\BayimSu\crm\src\components\Input.tsx, TypeScript React, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
c:\Users\bilal\Desktop\BayimSu\crm\src\components\ListItem.tsx, TypeScript React, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
c:\Users\bilal\Desktop\BayimSu\crm\src\components\NotificationIconBadge.tsx, TypeScript React, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 51
c:\Users\bilal\Desktop\BayimSu\crm\src\components\index.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\constants\colors.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\constants\index.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
c:\Users\bilal\Desktop\BayimSu\crm\src\images\file1.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\file-1.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\svgs.tsx, TypeScript React, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 64
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\user-plus-1.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\user.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\SVG\users-1.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\demo-external-svg.html, HTML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 42
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\demo-files\demo.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 2, 148
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\demo.html, HTML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 73
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\selection.json, JSON, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 310
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 7, 6, 33
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\svgxuse.js, JavaScript, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 231
c:\Users\bilal\Desktop\BayimSu\crm\src\images\icomoon\symbol-defs.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
c:\Users\bilal\Desktop\BayimSu\crm\src\images\user-plus 1.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\images\user.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
c:\Users\bilal\Desktop\BayimSu\crm\src\images\users 1.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
c:\Users\bilal\Desktop\BayimSu\crm\src\navigation\AppNavigation.tsx, TypeScript React, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 37, 338
c:\Users\bilal\Desktop\BayimSu\crm\src\package-lock.json, JSON, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
c:\Users\bilal\Desktop\BayimSu\crm\src\package.json, JSON, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\addCashAction.tsx, TypeScript React, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 67
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\addOrderAction.tsx, TypeScript React, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 123
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\addUserAction.tsx, TypeScript React, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\createUserAction.tsx, TypeScript React, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerAddAction.tsx, TypeScript React, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 90
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerDefinedPriceAction.tsx, TypeScript React, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34, 87
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerDeleteAction.tsx, TypeScript React, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 73
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerEditAction.tsx, TypeScript React, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38, 144
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerPriceEditAction.tsx, TypeScript React, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
c:\Users\bilal\Desktop\BayimSu\crm\src\redux\actions\customerPriceGetProductAction.tsx, TypeScript React, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 80
